name,fans,fave,tags,vote
1054266-Que+reste+t+il+de+nos+amours-ivory-mondabelle-dress,18061,74 favorites,"['Chic', 'BBQ Party', 'spring', 'lace']",397 votes
1043863-Blooming+roses+dress-purple-kenzo-bag-deep-purple-blooming-roses-chicwish-dress,715,45 favorites,"['Elegant', 'Dinner Date', 'summer']",302 votes
954993-I+walked+across+an+empty+land-vintage-paisley-house-of-jam-asos-marketplace-dress,1217,74 favorites,"['80s', 'Everyday', 'fall']",381 votes
949803-The+other+side+of+Christmas-red-stripe-latern-elf-sack-dress-black-ampersand-seychelles-heels,522,55 favorites,"['Chic', 'Holiday Party', 'fall']",401 votes
1163363-Rainbow+Stripes+Patches-hot-pink-rainbow-stripe-depop-jumper-sky-blue-denim-matalan-dress,379,62 favorites,"['Preppy', 'Everyday', 'spring']",313 votes
1151239-Pink+fur-black-deezee-boots-white-yuliya-babich-dress-light-pink-sheinside-coat,880,53 favorites,"['Romantic', 'Dinner Date', 'winter']",376 votes
1017449-APHRODITE-white-fox-house-dress-black-necklace-love-and-leather-accessories,1994,55 favorites,"['Casual', 'First Date', 'spring']",367 votes
943974-Harvest+time-white-white-leather-danier-jacket-light-pink-blush-lace-forever-21-dress,40,83 favorites,"['Chic', 'Everyday', 'fall']",378 votes
949192-Look+du+jour+down+by+the+river-antix-dress,18061,75 favorites,"['Bohemian', 'Picnic', 'summer', 'sunday breeze romantic']",399 votes
1056698-Style+Origins-sky-blue-wagw-dress,20444,72 favorites,"['Chic', 'Everyday', 'summer']",399 votes
1119531-Black+Thigh+Highs+Golden+Ale-black-open-back-h-m-dress-orange-orange-steve-madden-bag,1736,64 favorites,"['Chic', 'Dinner Date', 'summer']",409 votes
953469-Aminta+for+asos-black-asos-dress-yellow-asos-sweater-black-asos-skirt,13169,67 favorites,"['Casual', 'Going Out With Friends', 'fall']",386 votes
997297-Red+Nosed-brown-winter-locale-boots-brown-asymmetrical-unknown-dress,161,45 favorites,"['Casual', 'Everyday', 'winter']",286 votes
1028410-Brains+Out-celebindress-dress-infinitine-ring-chicwish-earrings,31856,31 favorites,"['Chic', 'Bachelorette Party', 'summer']",179 votes
1088762-Old+Hollywood-yellow-oasap-bag-black-oasap-dress-yellow-stylemoi-necklace,21610,52 favorites,"['Elegant', 'Dinner Party', 'winter']",326 votes
975803-Desert+Spells-black-jeffrey-campbell-boots-black-unif-dress,225,54 favorites,"['Bohemian', 'Everyday', 'winter']",369 votes
1136065-Urban+cherry+blossom-white-romwe-dress-black-other-stories-sandals,75,48 favorites,"['Elegant', 'Birthday', 'fall']",365 votes
1053753-BOHO+DREAMS-haute-hippie-dress-aaraa-accessories,77,66 favorites,"['Bohemian', 'Beach', 'summer']",336 votes
1146158-Henry+Lee-maroon-1950s-dress-from-american-vintage-dress-maroon-hat-by-joanna-violet-hat,463,71 favorites,"['50s', 'Everyday', 'Summer']",324 votes
957607-OUT+OF+A+BOOK-white-sabo-skirt-dress,237,80 favorites,"['Casual', 'Brunch', 'summer', 'white']",346 votes
1131606-Le+Marais-black-bohemian-barefoot-contessa-dress-black-fringe-aritzia-bag,876,81 favorites,"['Chic', 'Everyday', 'summer']",344 votes
962552-Holiday+Staples-orange-style-staple-dress,20444,77 favorites,"['Formal', 'Wine Tasting', 'fall']",399 votes
1052664-my+pink+flamingos-navy-mini-dress-hazel-and-florange-dress,520,53 favorites,"['Vintage', 'Lunch Date', 'fall']",314 votes
1029542-Eye+See+You-blue-rubi-shoes-wedges-light-blue-eye-dress-dress-oasap-dress,96,39 favorites,"['Elegant', 'Dinner Party', 'summer']",173 votes
943138-B+ball-baby-doll-dress-mik-gala-dress-shubar-sneakers,96,27 favorites,"['Casual', 'School', 'summer']",196 votes
1046344-the+very+basics-red-valentino-bag-black-red-valentino-dress,14925,51 favorites,"['Classic', 'Everyday', 'summer']",406 votes
1140737-Blue-sky-blue-boohoo-blazer-brick-red-shirt-dress-primark-dress,826,64 favorites,"['Chic', 'Dinner Date', 'fall']",379 votes
993050-Eighty-old-navy-boots-2020ave-dress-bailey-banks-and-biddle-necklace,57,31 favorites,"['Comfortable', 'Traveling', 'Summer']",198 votes
1161486-Laisse+moi+te+dire-chicwish-dress,31856,58 favorites,"['Elegant', 'Brunch', 'Summer']",385 votes
